,LapTime,NextLapTime,LapNumber,DriverNumber,Team,Compound,TyreLife,FreshTyre,S1Time,S2Time,S3Time,S1STime,S2STime,S2STime,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Position,Deleted,TrackStatus
108,84.9,85.062,6.0,16,2,1,9.0,0,27.836,28.616,28.448,2454.742,2483.358,2483.358,313.0,305.0,,0,1.0,0,2
109,85.062,85.024,7.0,16,2,1,10.0,0,27.977,28.694,28.391,2539.783,2568.477,2568.477,311.0,306.0,314.0,0,1.0,0,2
110,85.024,84.987,8.0,16,2,1,11.0,0,28.014,28.682,28.328,2624.882,2653.564,2653.564,313.0,306.0,315.0,0,1.0,0,1
111,84.987,85.01,9.0,16,2,1,12.0,0,28.032,28.616,28.339,2709.924,2738.54,2738.54,314.0,306.0,,0,1.0,0,1
112,85.01,84.926,10.0,16,2,1,13.0,0,28.047,28.613,28.35,2794.926,2823.539,2823.539,316.0,306.0,316.0,0,1.0,0,1
113,84.926,84.682,11.0,16,2,1,14.0,0,28.077,28.567,28.282,2879.966,2908.533,2908.533,316.0,306.0,,0,1.0,0,1
114,84.682,84.907,12.0,16,2,1,15.0,0,27.987,28.443,28.252,2964.802,2993.245,2993.245,315.0,306.0,317.0,0,1.0,0,1
115,84.907,84.975,13.0,16,2,1,16.0,0,27.998,28.612,28.297,3049.495,3078.107,3078.107,316.0,306.0,,0,1.0,0,1
116,84.975,84.938,14.0,16,2,1,17.0,0,28.105,28.569,28.301,3134.509,3163.078,3163.078,314.0,306.0,315.0,0,1.0,0,1
117,84.938,84.896,15.0,16,2,1,18.0,0,28.015,28.603,28.32,3219.394,3247.997,3247.997,317.0,307.0,319.0,0,1.0,0,1
118,84.896,84.935,16.0,16,2,1,19.0,0,27.994,28.627,28.275,3304.311,3332.938,3332.938,317.0,308.0,,0,1.0,0,1
119,84.935,84.9,17.0,16,2,1,20.0,0,27.922,28.628,28.385,3389.135,3417.763,3417.763,318.0,308.0,320.0,0,1.0,0,1
120,84.9,85.289,18.0,16,2,1,21.0,0,28.009,28.51,28.381,3474.157,3502.667,3502.667,319.0,309.0,322.0,0,1.0,0,1
121,85.289,88.847,19.0,16,2,1,22.0,0,28.056,28.722,28.511,3559.104,3587.826,3587.826,321.0,310.0,324.0,0,1.0,0,1
122,88.847,104.216,20.0,16,2,1,23.0,0,27.943,28.499,32.405,3644.28,3672.779,3672.779,322.0,,325.0,0,2.0,0,1
123,104.216,84.499,21.0,16,2,3,1.0,0,47.723,28.566,27.927,3752.907,3781.473,3781.473,318.0,314.0,290.0,0,4.0,0,1
124,84.499,84.659,22.0,16,2,3,2.0,0,27.797,28.274,28.428,3837.197,3865.471,3865.471,332.0,309.0,321.0,0,3.0,0,1
125,84.659,84.121,23.0,16,2,3,3.0,0,27.862,28.793,28.004,3921.761,3950.554,3950.554,312.0,310.0,326.0,0,3.0,0,1
126,84.121,84.497,24.0,16,2,3,4.0,0,27.886,28.263,27.972,4006.444,4034.707,4034.707,318.0,312.0,315.0,0,3.0,0,1
127,84.497,83.532,25.0,16,2,3,5.0,0,27.695,28.505,28.297,4090.374,4118.879,4118.879,334.0,321.0,323.0,0,3.0,0,1
128,83.532,83.858,26.0,16,2,3,6.0,0,27.438,28.237,27.857,4174.614,4202.851,4202.851,321.0,311.0,334.0,0,2.0,0,1
129,83.858,83.739,27.0,16,2,3,7.0,0,27.723,28.214,27.921,4258.431,4286.645,4286.645,322.0,316.0,322.0,0,2.0,0,1
130,83.739,99.724,28.0,16,2,3,8.0,0,27.759,28.143,27.837,4342.325,4370.468,4370.468,319.0,310.0,323.0,0,1.0,0,2
131,99.724,83.848,29.0,16,2,3,9.0,0,34.546,37.169,28.009,4432.851,4470.02,4470.02,315.0,309.0,319.0,0,1.0,0,267
132,83.848,107.237,30.0,16,2,3,10.0,0,27.754,28.127,27.967,4525.783,4553.91,4553.91,316.0,310.0,318.0,0,1.0,0,2
133,107.237,83.865,31.0,16,2,3,11.0,0,34.592,40.074,32.571,4616.469,4656.543,4656.543,244.0,313.0,316.0,0,1.0,0,267
134,83.865,84.076,32.0,16,2,3,12.0,0,27.667,28.313,27.885,4716.781,4745.094,4745.094,316.0,317.0,327.0,0,1.0,0,1
135,84.076,83.614,33.0,16,2,3,13.0,0,27.618,28.555,27.903,4800.597,4829.152,4829.152,328.0,311.0,328.0,0,1.0,0,1
136,83.614,83.779,34.0,16,2,3,14.0,0,27.637,28.08,27.897,4884.692,4912.772,4912.772,313.0,312.0,331.0,0,1.0,0,1
137,83.779,84.046,35.0,16,2,3,15.0,0,27.796,28.108,27.875,4968.465,4996.573,4996.573,314.0,314.0,320.0,0,1.0,0,1
138,84.046,84.023,36.0,16,2,3,16.0,0,27.937,28.315,27.794,5052.385,5080.7,5080.7,316.0,312.0,325.0,0,1.0,0,1
139,84.023,83.705,37.0,16,2,3,17.0,0,27.941,28.259,27.823,5136.435,5164.694,5164.694,313.0,313.0,,0,1.0,0,1
140,83.705,83.402,38.0,16,2,3,18.0,0,27.726,28.0,27.979,5220.243,5248.243,5248.243,316.0,316.0,316.0,0,1.0,0,1
141,83.402,83.777,39.0,16,2,3,19.0,0,27.615,28.054,27.733,5303.837,5331.891,5331.891,318.0,314.0,335.0,0,1.0,0,1
142,83.777,83.295,40.0,16,2,3,20.0,0,27.815,28.144,27.818,5387.439,5415.583,5415.583,316.0,314.0,316.0,0,1.0,0,1
143,83.295,83.723,41.0,16,2,3,21.0,0,27.59,28.01,27.695,5470.991,5499.001,5499.001,323.0,316.0,323.0,0,1.0,0,1
144,83.723,83.27,42.0,16,2,3,22.0,0,27.64,28.187,27.896,5554.336,5582.523,5582.523,325.0,313.0,328.0,0,1.0,0,1
145,83.27,83.273,43.0,16,2,3,23.0,0,27.641,27.976,27.653,5638.06,5666.036,5666.036,321.0,314.0,321.0,0,1.0,0,1
146,83.273,83.331,44.0,16,2,3,24.0,0,27.616,27.951999999999998,27.705,5721.305,5749.257,5749.257,318.0,314.0,319.0,0,1.0,0,1
147,83.331,83.349,45.0,16,2,3,25.0,0,27.682,27.967,27.682,5804.644,5832.611,5832.611,320.0,313.0,320.0,0,1.0,0,1
148,83.349,83.009,46.0,16,2,3,26.0,0,27.706,27.956,27.687,5887.999,5915.955,5915.955,321.0,315.0,323.0,0,1.0,0,1
149,83.009,83.205,47.0,16,2,3,27.0,0,27.574,27.855,27.58,5971.216,5999.071,5999.071,324.0,316.0,325.0,0,1.0,0,1
150,83.205,83.166,48.0,16,2,3,28.0,0,27.615,28.049,27.541,6054.266,6082.315,6082.315,327.0,320.0,327.0,0,1.0,0,1
151,83.166,83.679,49.0,16,2,3,29.0,0,27.504,28.012,27.65,6137.36,6165.372,6165.372,323.0,318.0,329.0,0,1.0,0,1
152,83.679,83.145,50.0,16,2,3,30.0,0,27.542,28.397,27.74,6220.564,6248.961,6248.961,327.0,320.0,328.0,0,1.0,0,1
153,83.145,83.426,51.0,16,2,3,31.0,0,27.393,28.118,27.634,6304.094,6332.212,6332.212,325.0,315.0,341.0,0,1.0,0,1
154,83.426,83.722,52.0,16,2,3,32.0,0,27.653,28.047,27.726,6387.499,6415.546,6415.546,326.0,318.0,327.0,0,1.0,0,1
155,91.372,86.502,1.0,18,1,1,4.0,0,,30.889,29.17,,2062.7,2062.7,327.0,311.0,261.0,0,7.0,0,2
156,86.502,86.248,2.0,18,1,1,5.0,0,27.949,29.775,28.778,2119.65,2149.425,2149.425,317.0,312.0,339.0,0,7.0,0,1
157,86.248,86.101,3.0,18,1,1,6.0,0,28.061,29.321,28.866,2206.264,2235.585,2235.585,328.0,312.0,328.0,0,7.0,0,2
158,86.101,86.05,4.0,18,1,1,7.0,0,27.993,29.358,28.75,2292.444,2321.802,2321.802,317.0,310.0,332.0,0,7.0,0,1
159,86.05,99.281,5.0,18,1,1,8.0,0,27.988,29.276,28.786,2378.54,2407.816,2407.816,322.0,309.0,328.0,0,7.0,0,1
160,99.281,86.753,6.0,18,1,1,9.0,0,27.929,29.336,42.016,2464.531,2493.867,2493.867,317.0,308.0,334.0,0,12.0,0,2
161,86.753,86.441,7.0,18,1,1,10.0,0,28.139,29.656,28.958,2564.022,2593.678,2593.678,315.0,308.0,336.0,0,12.0,0,1
